llm,n_gold,n_predicted,tp_strict,fp_strict,fn_strict,precision,recall,f1,lenient_precision,lenient_recall,lenient_f1,evaluated_at
GPT-5,60,44,13,31,47,0.2955,0.2167,0.25,0.5476,0.4035,0.4646,2026-04-16T21:47:54+00:00
GPT-5 mini,60,41,12,29,48,0.2927,0.2,0.2376,0.3421,0.2281,0.2737,2026-04-16T21:49:46+00:00
o4-mini,60,31,12,19,48,0.3871,0.2,0.2637,0.5161,0.2807,0.3636,2026-04-16T21:51:03+00:00
Kimi K2.5,60,0,0,0,60,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-16T21:51:15+00:00
Llama 3.3 70B,60,14,8,6,52,0.5714,0.1333,0.2162,0.7143,0.1754,0.2817,2026-04-16T21:51:20+00:00
Llama 3.1 8B,60,14,8,6,52,0.5714,0.1333,0.2162,0.7143,0.1754,0.2817,2026-04-16T21:51:27+00:00
