llm,n_gold,n_predicted,tp_strict,fp_strict,fn_strict,precision,recall,f1,lenient_precision,lenient_recall,lenient_f1,evaluated_at
GPT-5,60,44,13,31,47,0.2955,0.2167,0.25,0.5476,0.4035,0.4646,2026-04-16T21:47:54+00:00
GPT-5 mini,60,41,12,29,48,0.2927,0.2,0.2376,0.3421,0.2281,0.2737,2026-04-16T21:49:46+00:00
o4-mini,60,31,12,19,48,0.3871,0.2,0.2637,0.5161,0.2807,0.3636,2026-04-16T21:51:03+00:00
Kimi K2.5,60,0,0,0,60,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-16T21:51:15+00:00
Claude Sonnet 4.6 CLI,60,2826,18,2808,42,0.0064,0.3,0.0125,0.0086,0.4035,0.0168,2026-04-17T08:31:22+00:00
Llama 3.3 70B,60,1680,8,1672,52,0.0048,0.1333,0.0092,0.0067,0.193,0.013,2026-04-17T09:23:49+00:00
Claude Opus Latest CLI,60,1260,19,1241,41,0.0151,0.3167,0.0288,0.0189,0.4035,0.0362,2026-04-17T09:28:02+00:00
Llama 3.1 8B,60,2255,1,2254,59,0.0004,0.0167,0.0009,0.0019,0.0702,0.0036,2026-04-17T10:02:23+00:00
